respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.2,0.3
26708,0.2,0.1
26709,0.4,0.7
26710,0.6,0.8
26711,0.3,0.4
26712,0.4,0.8
26713,0.4,0.6
26714,0.4,0.3
26715,0.2,0.2
26716,0.2,0.7
26717,0.2,0.6
26718,0.4,0.6
26719,0.2,0.8
26720,0.1,0.3
26721,0.4,0.7
26722,0.1,0.2
26723,0.6,0.8
26724,0.2,0.8
26725,0.2,0.2
26726,0.2,0.2
26727,0.2,0.6
26728,0.2,0.4
26729,0.4,0.5
26730,0.2,0.3
26731,0.2,0.4
26732,0.2,0.2
26733,0.8,0.8
26734,0.6,0.5
26735,0.2,0.4
26736,0.1,0.2
26737,0.1,0.1
26738,0.5,0.5
26739,0.1,0.3
26740,0.2,0.2
26741,0.3,0.8
26742,0.2,0.4
26743,0.2,0.4
26744,0.2,0.7
26745,0.2,0.6
26746,0.3,0.3
26747,0.2,0.2
26748,0.2,0.1
26749,0.1,0.6
26750,0.6,0.8
26751,0.5,0.8
26752,0.3,0.2
26753,0.1,0.3
26754,0.3,0.4
26755,0.2,0.4
26756,0.1,0.1
26757,0.5,0.6
26758,0.6,0.7
26759,0.1,0.3
26760,0.2,0.1
26761,0.4,0.6
26762,0.3,0.7
26763,0.6,0.8
26764,0.7,0.8
26765,0.3,0.6
26766,0.2,0.2
26767,0.7,0.7
26768,0.1,0.5
26769,0.2,0.3
26770,0.3,0.5
26771,0.1,0.3
26772,0.2,0.4
26773,0.2,0.4
26774,0.2,0.5
26775,0.2,0.6
26776,0.4,0.4
26777,0.2,0.7
26778,0.2,0.1
26779,0.2,0.6
26780,0.2,0.8
26781,0.2,0.4
26782,0.3,0.4
26783,0.2,0.4
26784,0.4,0.8
26785,0.5,0.7
26786,0.2,0.3
26787,0.2,0.5
26788,0.2,0.8
26789,0.0,0.3
26790,0.2,0.4
26791,0.1,0.1
26792,0.1,0.6
26793,0.2,0.9
26794,0.6,0.7
26795,0.2,0.6
26796,0.1,0.0
26797,0.3,0.5
26798,0.4,0.3
26799,0.5,0.4
26800,0.2,0.8
26801,0.3,0.4
26802,0.1,0.3
26803,0.2,0.3
26804,0.2,0.1
26805,0.1,0.2
26806,0.2,0.9
26807,0.4,0.8
26808,0.2,0.5
26809,0.4,0.2
26810,0.2,0.2
26811,0.2,0.1
26812,0.3,0.6
26813,0.4,0.4
26814,0.3,0.6
26815,0.1,0.1
26816,0.3,0.3
26817,0.3,0.6
26818,0.2,0.3
26819,0.2,0.3
26820,0.2,0.3
26821,0.2,0.6
26822,0.3,0.6
26823,0.3,0.4
26824,0.3,0.7
26825,0.5,0.6
26826,0.2,0.7
26827,0.2,0.2
26828,0.3,0.4
26829,0.6,0.8
26830,0.1,0.8
26831,0.3,0.8
26832,0.2,0.7
26833,0.2,0.5
26834,0.4,0.6
26835,0.6,0.8
26836,0.3,0.6
26837,0.2,0.1
26838,0.3,0.5
26839,0.2,0.5
26840,0.3,0.3
26841,0.5,0.6
26842,0.1,0.2
26843,0.2,0.1
26844,0.2,0.4
26845,0.2,0.7
26846,0.2,0.8
26847,0.3,0.2
26848,0.1,0.6
26849,0.3,0.4
26850,0.5,0.6
26851,0.0,0.1
26852,0.1,0.1
26853,0.6,0.6
26854,0.1,0.2
26855,0.6,0.8
26856,0.2,0.2
26857,0.4,0.3
26858,0.2,0.5
26859,0.2,0.2
26860,0.3,0.3
26861,0.2,0.2
26862,0.2,0.2
26863,0.2,0.4
26864,0.4,0.4
26865,0.2,0.0
26866,0.2,0.4
26867,0.2,0.3
26868,0.7,0.8
26869,0.2,0.3
26870,0.6,0.8
26871,0.1,0.1
26872,0.2,0.4
26873,0.2,0.7
26874,0.1,0.1
26875,0.6,0.7
26876,0.2,0.2
26877,0.2,0.2
26878,0.2,0.4
26879,0.1,0.2
26880,0.2,0.2
26881,0.2,0.2
26882,0.1,0.1
26883,0.2,0.2
26884,0.2,0.2
26885,0.4,0.6
26886,0.3,0.7
26887,0.6,0.8
26888,0.8,0.9
26889,0.1,0.2
26890,0.4,0.5
26891,0.4,0.7
26892,0.2,0.6
26893,0.1,0.1
26894,0.3,0.4
26895,0.2,0.7
26896,0.1,0.1
26897,0.2,0.5
26898,0.4,0.6
26899,0.2,0.1
26900,0.2,0.3
26901,0.2,0.4
26902,0.4,0.7
26903,0.3,0.2
26904,0.3,0.4
26905,0.4,0.7
26906,0.2,0.6
26907,0.1,0.6
26908,0.2,0.7
26909,0.2,0.2
26910,0.2,0.3
26911,0.1,0.2
26912,0.4,0.7
26913,0.7,0.8
26914,0.2,0.3
26915,0.3,0.6
26916,0.5,0.3
26917,0.2,0.2
26918,0.9,0.9
26919,0.3,0.5
26920,0.1,0.1
26921,0.3,0.8
26922,0.2,0.8
26923,0.3,0.5
26924,0.7,0.9
26925,0.2,0.6
26926,0.4,0.5
26927,0.5,0.6
26928,0.2,0.6
26929,0.2,0.3
26930,0.6,0.8
26931,0.2,0.5
26932,0.1,0.9
26933,0.1,0.5
26934,0.6,0.7
26935,0.3,0.4
26936,0.4,0.3
26937,0.4,0.7
26938,0.2,0.2
26939,0.1,0.1
26940,0.2,0.3
26941,0.2,0.4
26942,0.5,0.7
26943,0.4,0.7
26944,0.2,0.3
26945,0.4,0.6
26946,0.3,0.6
26947,0.3,0.5
26948,0.1,0.1
26949,0.1,0.2
26950,0.2,0.4
26951,0.3,0.5
26952,0.8,0.7
26953,0.7,0.8
26954,0.2,0.1
26955,0.3,0.7
26956,0.2,0.2
26957,0.1,0.8
26958,0.3,0.6
26959,0.1,0.4
26960,0.2,0.1
26961,0.2,0.4
26962,0.2,0.8
26963,0.2,0.4
26964,0.2,0.2
26965,0.8,0.8
26966,0.1,0.2
26967,0.2,0.4
26968,0.1,0.7
26969,0.2,0.3
26970,0.5,0.6
26971,0.2,0.1
26972,0.1,0.0
26973,0.1,0.3
26974,0.2,0.3
26975,0.1,0.5
26976,0.7,0.5
26977,0.3,0.4
26978,0.1,0.8
26979,0.6,0.8
26980,0.2,0.2
26981,0.2,0.4
26982,0.6,0.6
26983,0.2,0.5
